station_id,Latitude,Longitude,Num_of_Slots,fsq_id,fsq_lat,fsq_long,id,name,popularity,rating,address
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,30250a6814c54eee5bec4b07,49.265841,-123.112531,11176.0,Water Treatment Service,,,"399 6th Ave W, Vancouver BC V5Y 1L1"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,5d1c0f178132b9002350bb69,49.261243,-123.097621,13236.0,Italian Restaurant,0.9674216627769064,,"265 Kingsway, Vancouver BC V5T 3J5"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,1cbc5aaf40e6454c10f2dcc3,49.261356,-123.097631,11010.0,Automotive Repair Shop,,,"275 Kingsway, Vancouver BC V5T 3J5"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,2cc39fbe9f8d4ca2beac1410,49.261398,-123.097796,11015.0,Tire Repair Shop,,,"275 Kingsway, Vancouver BC V5T 3J5"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,cda2df63674140d737e23282,49.267849,-123.113026,11010.0,Automotive Repair Shop,,,"365 2nd Ave W, Vancouver BC V5Y 1C9"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,92a5122c7e29471094f5126f,49.267849,-123.113026,,,,,"371 2nd Ave W, Vancouver BC V5Y 1C9"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,eb6ffe90ca6e4dfd8879c25c,49.267849,-123.113026,,,,,"365 2nd Ave W, Vancouver BC V5Y 1C9"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,e1d93848831e97101159ecfa,49.267941,-123.112953,,,,,"1988 Wylie St, Vancouver BC V5Y 0N4"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,b9de5a97c3d246a91c333fc4,49.267766,-123.113587,11006.0,Audiovisual Service,,,"1955 Wylie St, Vancouver BC V5Y 3N7"
13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,14,49f72361e6b5402c5a6e64dc,49.267519,-123.113485,,,,,"415 2nd Ave W, Vancouver BC V5Y 1E3"
